bin	marker lineage	Completeness	Contamination	Mean contig length	N50 (contigs)	Coding density	# contigs	Genome size	GC
tig00001623	o__Actinomycetales	99.24	0.51	3729143.0	3729143	0.93	1	3729143	0.68
tig00001766	o__Rhizobiales	35.21	0.13	1756518.0	1756518	0.89	1	1756518	0.65
tig00001666	c__Alphaproteobacteria	99.68	1.3	2932470.0	2932470	0.91	1	2932470	0.66
tig00001708	f__Comamonadaceae	55.57	0.0	2930826.0	2930826	0.87	1	2930826	0.6
tig00001832	k__Bacteria	43.1	0.0	1670757.0	1670757	0.87	1	1670757	0.6
tig00001853	k__Bacteria	46.55	0.0	3815495.0	3815495	0.88	1	3815495	0.62
tig00001779	f__Xanthomonadaceae	35.17	0.0	1887097.0	1887097	0.9	1	1887097	0.66
tig00001594	p__Bacteroidetes	100.0	0.74	6743671.0	6743671	0.9	1	6743671	0.51
tig00001789	p__Bacteroidetes	100.0	0.25	4423965.0	4423965	0.89	1	4423965	0.43
tig00001864	k__Bacteria	50.0	1.72	4546096.0	4546096	0.87	1	4546096	0.61
tig00001795	f__Moraxellaceae	99.93	2.35	4739044.0	4739044	0.85	1	4739044	0.38
tig00001867	f__Enterobacteriaceae	31.28	0.3	1622524.0	1622524	0.87	1	1622524	0.57
tig00001787	o__Flavobacteriales	100.0	0.49	5190801.0	5190801	0.87	1	5190801	0.36
tig00001998	o__Sphingomonadales	62.68	0.84	3512563.0	3512563	0.9	1	3512563	0.65
tig00002287	root	4.17	0.0	2227061.0	2227061	0.89	1	2227061	0.59
tig00002297	root	16.67	0.0	2257414.0	2257414	0.91	1	2257414	0.65
tig00002327	root	4.17	0.0	1534407.0	1534407	0.85	1	1534407	0.38
tig00001880	f__Moraxellaceae	55.27	0.64	2372050.0	2372050	0.84	1	2372050	0.38
tig00002333	k__Bacteria	50.0	1.72	2239074.0	2239074	0.89	1	2239074	0.62
tig00001815	f__Enterobacteriaceae	99.4	1.08	4732551.0	4732551	0.88	1	4732551	0.53
tig00002031	f__Paenibacillaceae	72.02	0.1	2990953.0	2990953	0.88	1	2990953	0.36
tig00002732	o__Sphingomonadales	28.67	0.34	1423410.0	1423410	0.91	1	1423410	0.65
tig00002764	k__Bacteria	27.89	0.0	1078001.0	1078001	0.87	1	1078001	0.62
tig00002771	k__Bacteria	12.28	0.0	1438221.0	1438221	0.92	1	1438221	0.71
tig00002799	k__Bacteria	8.62	0.0	1034252.0	1034252	0.91	1	1034252	0.66
tig00002754	o__Actinomycetales	43.94	0.0	1258326.0	1258326	0.93	1	1258326	0.7
tig00002643	o__Rhizobiales	39.82	0.0	1605446.0	1605446	0.9	1	1605446	0.62
tig00002933	root	0.0	0.0	253526.0	253526	0.82	1	253526	0.51
tig00002937	root	0.0	0.0	410775.0	410775	0.9	1	410775	0.63
tig00003049	root	0.0	0.0	178934.0	178934	0.84	1	178934	0.61
tig00003051	root	0.0	0.0	226421.0	226421	0.82	1	226421	0.58
tig00001855	o__Burkholderiales	76.64	0.06	4533890.0	4533890	0.91	1	4533890	0.65
tig00002823	k__Bacteria	5.17	0.0	1004025.0	1004025	0.89	1	1004025	0.67
tig00003071	root	0.0	0.0	208676.0	208676	0.82	1	208676	0.62
tig00003201	root	0.0	0.0	171385.0	171385	0.89	1	171385	0.63
tig00003299	root	0.0	0.0	104713.0	104713	0.87	1	104713	0.6
tig00003389	root	0.0	0.0	75387.0	75387	0.86	1	75387	0.55
tig00003402	root	0.0	0.0	65660.0	65660	0.84	1	65660	0.56
tig00003479	root	0.0	0.0	77577.0	77577	0.84	1	77577	0.58
tig00003511	root	0.0	0.0	43158.0	43158	0.91	1	43158	0.61
tig00004095	root	0.0	0.0	55832.0	55832	0.93	1	55832	0.51
tig00003708	root	0.0	0.0	66056.0	66056	0.9	1	66056	0.4
tig00004124	root	0.0	0.0	45728.0	45728	0.83	1	45728	0.43
tig00004287	root	0.0	0.0	9473.0	9473	0.88	1	9473	0.35
tig00002791	k__Bacteria	25.62	0.0	1076318.0	1076318	0.87	1	1076318	0.62
tig00004604	root	0.0	0.0	51267.0	51267	0.88	1	51267	0.61
tig00005775	root	0.0	0.0	18883.0	18883	0.74	1	18883	0.42
tig00002765	c__Alphaproteobacteria	42.21	0.0	1216904.0	1216904	0.92	1	1216904	0.66
tig00162938	k__Bacteria	48.28	0.0	1711587.0	1711587	0.86	1	1711587	0.39
tig00002062	f__Rhizobiaceae	64.8	1.01	2728388.0	2728388	0.88	1	2728388	0.59
tig00162874	k__Bacteria	44.83	0.0	2658457.0	2658457	0.85	1	2658457	0.39
tig00162941	k__Bacteria	13.79	0.0	1016240.0	1016240	0.85	1	1016240	0.39
tig00163127	root	0.0	0.0	454683.0	454683	0.92	1	454683	0.64
tig00163145	root	0.0	0.0	21293.0	21293	0.84	1	21293	0.56
tig00163169	root	0.0	0.0	81579.0	81579	0.87	1	81579	0.4
tig00162973	k__Bacteria	43.1	0.0	2980197.0	2980197	0.89	1	2980197	0.65
tig00162939	f__Paenibacillaceae	22.63	0.0	1055756.0	1055756	0.84	1	1055756	0.39
tig00162948	o__Rhizobiales	60.74	0.2	2552853.0	2552853	0.88	1	2552853	0.63
tig00162901	p__Bacteroidetes	99.84	3.33	6546994.0	6546994	0.89	1	6546994	0.4
tig00162863	p__Bacteroidetes	100.0	0.48	6065883.0	6065883	0.92	1	6065883	0.39
tig00162858	f__Enterobacteriaceae	99.95	2.13	5754148.0	5754148	0.87	1	5754148	0.57
tig00162856	f__Enterobacteriaceae	99.93	49.64	8867665.0	8867665	0.87	1	8867665	0.58


